0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1.0,0.66,0.66,0.67,0.72,0.62,0.41,0.45,0.79,0.51,0.41,0.46,0.64,0.56,0.61,0.57,0.53,0.42,0.56,0.55,0.67,0.65,0.57,0.66
0.66,1.0,1.0,0.82,0.7,0.59,0.42,0.46,0.69,0.51,0.43,0.56,0.44,0.49,0.49,0.43,0.43,0.5,0.66,0.6,0.59,0.51,0.54,0.63
0.66,1.0,1.0,0.82,0.7,0.59,0.42,0.46,0.69,0.51,0.43,0.56,0.44,0.49,0.49,0.43,0.43,0.5,0.66,0.6,0.59,0.51,0.54,0.63
0.67,0.82,0.82,1.0,0.56,0.51,0.35,0.43,0.59,0.47,0.41,0.42,0.44,0.62,0.47,0.43,0.46,0.51,0.59,0.54,0.66,0.53,0.48,0.56
0.72,0.7,0.7,0.56,1.0,0.8,0.59,0.65,0.68,0.64,0.56,0.6,0.55,0.63,0.58,0.55,0.6,0.38,0.6,0.54,0.71,0.59,0.53,0.65
0.62,0.59,0.59,0.51,0.8,1.0,0.63,0.71,0.57,0.67,0.62,0.56,0.57,0.56,0.64,0.59,0.66,0.42,0.71,0.61,0.64,0.57,0.59,0.6
0.41,0.42,0.42,0.35,0.59,0.63,1.0,0.82,0.44,0.63,0.81,0.66,0.52,0.67,0.68,0.56,0.48,0.17,0.62,0.65,0.57,0.59,0.63,0.59
0.45,0.46,0.46,0.43,0.65,0.71,0.82,1.0,0.52,0.69,0.82,0.64,0.54,0.7,0.65,0.58,0.56,0.19,0.62,0.58,0.62,0.58,0.58,0.58
0.79,0.69,0.69,0.59,0.68,0.57,0.44,0.52,1.0,0.64,0.48,0.52,0.74,0.58,0.72,0.67,0.55,0.31,0.52,0.54,0.6,0.62,0.57,0.66
0.51,0.51,0.51,0.47,0.64,0.67,0.63,0.69,0.64,1.0,0.76,0.63,0.72,0.7,0.64,0.61,0.46,0.27,0.58,0.53,0.53,0.62,0.52,0.6
0.41,0.43,0.43,0.41,0.56,0.62,0.81,0.82,0.48,0.76,1.0,0.69,0.56,0.72,0.66,0.57,0.48,0.18,0.67,0.61,0.52,0.64,0.6,0.6
0.46,0.56,0.56,0.42,0.6,0.56,0.66,0.64,0.52,0.63,0.69,1.0,0.56,0.63,0.51,0.53,0.36,0.14,0.54,0.55,0.52,0.56,0.57,0.7
0.64,0.44,0.44,0.44,0.55,0.57,0.52,0.54,0.74,0.72,0.56,0.56,1.0,0.55,0.73,0.81,0.6,0.32,0.52,0.6,0.54,0.64,0.65,0.65
0.56,0.49,0.49,0.62,0.63,0.56,0.67,0.7,0.58,0.7,0.72,0.63,0.55,1.0,0.55,0.57,0.5,0.2,0.47,0.48,0.71,0.69,0.49,0.64
0.61,0.49,0.49,0.47,0.58,0.64,0.68,0.65,0.72,0.64,0.66,0.51,0.73,0.55,1.0,0.72,0.58,0.29,0.65,0.69,0.55,0.59,0.68,0.59
0.57,0.43,0.43,0.43,0.55,0.59,0.56,0.58,0.67,0.61,0.57,0.53,0.81,0.57,0.72,1.0,0.67,0.28,0.51,0.62,0.58,0.68,0.69,0.65
0.53,0.43,0.43,0.46,0.6,0.66,0.48,0.56,0.55,0.46,0.48,0.36,0.6,0.5,0.58,0.67,1.0,0.36,0.43,0.58,0.7,0.6,0.69,0.64
0.42,0.5,0.5,0.51,0.38,0.42,0.17,0.19,0.31,0.27,0.18,0.14,0.32,0.2,0.29,0.28,0.36,1.0,0.61,0.38,0.3,0.26,0.33,0.28
0.56,0.66,0.66,0.59,0.6,0.71,0.62,0.62,0.52,0.58,0.67,0.54,0.52,0.47,0.65,0.51,0.43,0.61,1.0,0.71,0.5,0.49,0.64,0.56
0.55,0.6,0.6,0.54,0.54,0.61,0.65,0.58,0.54,0.53,0.61,0.55,0.6,0.48,0.69,0.62,0.58,0.38,0.71,1.0,0.64,0.59,0.84,0.68
0.67,0.59,0.59,0.66,0.71,0.64,0.57,0.62,0.6,0.53,0.52,0.52,0.54,0.71,0.55,0.58,0.7,0.3,0.5,0.64,1.0,0.73,0.65,0.75
0.65,0.51,0.51,0.53,0.59,0.57,0.59,0.58,0.62,0.62,0.64,0.56,0.64,0.69,0.59,0.68,0.6,0.26,0.49,0.59,0.73,1.0,0.65,0.75
0.57,0.54,0.54,0.48,0.53,0.59,0.63,0.58,0.57,0.52,0.6,0.57,0.65,0.49,0.68,0.69,0.69,0.33,0.64,0.84,0.65,0.65,1.0,0.78
0.66,0.63,0.63,0.56,0.65,0.6,0.59,0.58,0.66,0.6,0.6,0.7,0.65,0.64,0.59,0.65,0.64,0.28,0.56,0.68,0.75,0.75,0.78,1.0
