0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1.0,0.75,0.84,0.82,0.65,0.73,0.76,0.79,0.77,0.77,0.74,0.92,0.74,0.73,0.73,0.71,0.73,0.82,0.8,0.89,0.72,0.85,0.82,0.8
0.75,1.0,0.75,0.68,0.65,0.68,0.75,0.77,0.69,0.72,0.69,0.75,0.77,0.73,0.71,0.66,0.65,0.73,0.59,0.74,0.65,0.74,0.74,0.72
0.84,0.75,1.0,0.82,0.66,0.83,0.83,0.91,0.85,0.73,0.73,0.89,0.75,0.72,0.73,0.72,0.73,0.82,0.75,0.83,0.74,0.84,0.98,0.8
0.82,0.68,0.82,1.0,0.64,0.66,0.79,0.81,0.79,0.79,0.87,0.82,0.85,0.73,0.68,0.74,0.73,0.93,0.89,0.81,0.69,0.9,0.8,0.87
0.65,0.65,0.66,0.64,1.0,0.71,0.71,0.63,0.69,0.68,0.66,0.64,0.67,0.83,0.75,0.9,0.87,0.65,0.65,0.68,0.8,0.61,0.66,0.56
0.73,0.68,0.83,0.66,0.71,1.0,0.67,0.82,0.81,0.73,0.7,0.73,0.63,0.72,0.65,0.71,0.71,0.7,0.66,0.78,0.78,0.64,0.86,0.61
0.76,0.75,0.83,0.79,0.71,0.67,1.0,0.86,0.77,0.71,0.72,0.79,0.76,0.8,0.83,0.76,0.78,0.82,0.68,0.73,0.81,0.83,0.83,0.82
0.79,0.77,0.91,0.81,0.63,0.82,0.86,1.0,0.85,0.75,0.76,0.82,0.75,0.72,0.7,0.69,0.7,0.85,0.7,0.78,0.71,0.83,0.93,0.84
0.77,0.69,0.85,0.79,0.69,0.81,0.77,0.85,1.0,0.69,0.69,0.8,0.74,0.77,0.74,0.78,0.77,0.75,0.75,0.82,0.78,0.73,0.87,0.73
0.77,0.72,0.73,0.79,0.68,0.73,0.71,0.75,0.69,1.0,0.87,0.75,0.71,0.77,0.6,0.67,0.66,0.86,0.73,0.76,0.68,0.85,0.71,0.83
0.74,0.69,0.73,0.87,0.66,0.7,0.72,0.76,0.69,0.87,1.0,0.72,0.77,0.68,0.59,0.66,0.65,0.88,0.75,0.73,0.67,0.8,0.71,0.8
0.92,0.75,0.89,0.82,0.64,0.73,0.79,0.82,0.8,0.75,0.72,1.0,0.74,0.71,0.73,0.7,0.72,0.82,0.78,0.92,0.71,0.87,0.87,0.81
0.74,0.77,0.75,0.85,0.67,0.63,0.76,0.75,0.74,0.71,0.77,0.74,1.0,0.72,0.75,0.73,0.73,0.82,0.75,0.76,0.69,0.79,0.74,0.78
0.73,0.73,0.72,0.73,0.83,0.72,0.8,0.72,0.77,0.77,0.68,0.71,0.72,1.0,0.75,0.89,0.86,0.73,0.69,0.75,0.78,0.73,0.72,0.7
0.73,0.71,0.73,0.68,0.75,0.65,0.83,0.7,0.74,0.6,0.59,0.73,0.75,0.75,1.0,0.78,0.81,0.67,0.68,0.71,0.81,0.68,0.73,0.64
0.71,0.66,0.72,0.74,0.9,0.71,0.76,0.69,0.78,0.67,0.66,0.7,0.73,0.89,0.78,1.0,0.95,0.69,0.76,0.76,0.85,0.67,0.71,0.64
0.73,0.65,0.73,0.73,0.87,0.71,0.78,0.7,0.77,0.66,0.65,0.72,0.73,0.86,0.81,0.95,1.0,0.71,0.78,0.78,0.84,0.68,0.73,0.66
0.82,0.73,0.82,0.93,0.65,0.7,0.82,0.85,0.75,0.86,0.88,0.82,0.82,0.73,0.67,0.69,0.71,1.0,0.82,0.79,0.69,0.92,0.8,0.9
0.8,0.59,0.75,0.89,0.65,0.66,0.68,0.7,0.75,0.73,0.75,0.78,0.75,0.69,0.68,0.76,0.78,0.82,1.0,0.8,0.72,0.78,0.73,0.75
0.89,0.74,0.83,0.81,0.68,0.78,0.73,0.78,0.82,0.76,0.73,0.92,0.76,0.75,0.71,0.76,0.78,0.79,0.8,1.0,0.75,0.78,0.81,0.78
0.72,0.65,0.74,0.69,0.8,0.78,0.81,0.71,0.78,0.68,0.67,0.71,0.69,0.78,0.81,0.85,0.84,0.69,0.72,0.75,1.0,0.66,0.74,0.62
0.85,0.74,0.84,0.9,0.61,0.64,0.83,0.83,0.73,0.85,0.8,0.87,0.79,0.73,0.68,0.67,0.68,0.92,0.78,0.78,0.66,1.0,0.82,0.94
0.82,0.74,0.98,0.8,0.66,0.86,0.83,0.93,0.87,0.71,0.71,0.87,0.74,0.72,0.73,0.71,0.73,0.8,0.73,0.81,0.74,0.82,1.0,0.78
0.8,0.72,0.8,0.87,0.56,0.61,0.82,0.84,0.73,0.83,0.8,0.81,0.78,0.7,0.64,0.64,0.66,0.9,0.75,0.78,0.62,0.94,0.78,1.0
